Year,Month,Day,Hour,Minute,Second,N_Lat,E_Long,Depth,Mag
1909,4,25,22,36,0,4,127,100,7
1910,12,16,14,45,0,4.5,126.5,33,7.5
1911,3,6,17,30,0,6,126,100,6.8
1911,7,12,4,7,36,9,126,33,7.7
1912,8,17,19,11,48,4,127,33,7.5
1913,3,14,8,45,0,4.5,126.5,33,7.9
1915,3,12,14,48,30,12,124,40,7
1915,9,11,23,59,12,5.5,123.5,600,6.7
1918,2,7,5,20,30,6.5,126.5,120,7.5
1918,8,15,17,30,11,5.5,126.1,33,7
1919,1,1,1,33,42,8,126,33,7.2
1919,3,21,10,2,23,13,123,50,6.5
1919,4,27,0,22,5,11,123,33,6.4
1920,8,3,3,2,28,5,128,250,6.7
1921,2,14,1,0,47,3.5,126.1,33,6.3
1921,7,15,18,6,22,2,128,140,6
1921,11,11,18,36,8,8,127,33,7.5
1922,4,3,22,51,33.9,13.82,119.91,68,5
1922,6,2,20,11,47,7.5,127.5,50,6.7
1923,3,16,22,1,38,6,127,33,7
1923,3,2,16,48,52,6.5,124.1,33,7.2
1923,4,19,3,9,8,2.5,117.5,33,7
1923,8,11,0,54,25,4.5,119.5,33,6.5
1924,4,14,16,23,0,6.5,126.5,33,8.3
1924,8,30,3,4,57,8.5,126.5,33,7.3
1925,3,26,10,25,12,5.5,125.1,180,6.5
1925,5,5,10,6,6,9.5,123.1,33,6.8
1925,5,25,3,43,6,12.5,122.5,33,6.3
1925,10,18,8,25,58,3.5,128.1,220,6.3
1925,11,13,12,14,45,13,125,33,7.3
1925,11,13,12,16,0,12.75,125,33,7.3
1926,1,23,3,11,52,11,126,33,5.6
1926,7,14,16,59,27,2,129,180,6.3
1926,9,30,5,17,43,3.1,122.5,600,6.3
1926,10,30,13,46,34,9.5,124.5,520,6.3
1927,4,13,13,44,14,16.5,120.5,140,6.7
1927,4,13,14,34,37,16.1,120.5,140,6.3
1927,4,19,17,30,10,16,120,100,6.7
1927,11,16,21,10,9,6.5,126.1,50,6.9
1928,6,15,6,12,39,12.5,121.5,33,7
1928,6,15,17,16,17,11.5,121.5,33,6.7
1928,9,5,14,41,56,16.1,119.5,33,6.3
1928,12,19,11,37,12,6.1,124.5,33,7.3
1928,12,28,14,19,35,7.5,123.1,33,6.9
1929,4,8,10,16,53,7.8,124.6,610,6.7
1929,6,4,15,15,58,6.5,124.5,300,7
1929,7,21,13,15,59,14.5,124.1,33,5.6
1929,9,21,18,54,23,10,125,300,6
1930,5,16,15,3,48,21.5,122.1,50,6.5
1930,5,30,12,56,55,2.1,124.5,300,6.3
1930,11,8,3,22,40,4.1,122.5,670,6.9
1930,12,21,14,51,24,20.1,122.3,170,6.9
1931,1,24,13,41,4,10,126,33,6.3
1931,2,27,9,37,48,2,126,33,6.7
1931,3,18,20,13,30,6,127,50,7
1931,3,19,6,24,48,18.3,120.2,33,6.9
1931,7,12,16,45,24,12.4,123.8,33,6.5
1931,10,26,11,57,29,8,126,33,5.6
1931,10,26,14,42,8,13.3,126.3,33,5.6
1931,10,28,5,35,3,17.5,121.5,33,6.3
1932,4,29,17,30,40,7,127,33,5.6
1932,6,6,6,26,21,2.1,122.5,280,5.7
1932,6,8,14,54,38,8,126,100,6.3
1932,6,10,20,21,20,5.5,127.1,80,6.7
1932,6,13,20,57,32,18.1,119.3,33,6.3
1932,6,14,5,59,42,18.3,120.2,80,6.5
1932,6,14,11,20,12,18,120,40,5
1932,7,9,20,23,54,5.5,126.5,120,6
1932,7,11,8,21,31,12.5,124.5,33,5.6
1932,7,18,5,2,5,14,120,100,6
1932,7,24,12,10,32,16.5,120.5,33,6.3
1932,9,15,11,12,30,5,122,33,6.3
1932,11,18,13,47,16,2.1,124.5,280,6.5
1932,12,4,8,11,0,2.1,121.9,33,7.1
1932,12,4,10,32,48,2.9,121.8,33,6.3
1932,12,15,19,33,38,21,121,33,6
1932,12,16,7,14,22,7,127,33,5.6
1933,2,16,9,8,8,2.5,126.1,33,5.6
1933,2,22,3,48,10,5.5,125.1,33,5.6
1933,3,3,2,19,38,15.5,120.1,120,6.5
1933,3,17,19,32,30,6.5,128.1,33,6.7
1933,4,1,8,7,35,6,127,33,5.6
1933,6,6,2,28,22,14,120,33,6.3
1933,6,24,13,55,0,4,126,33,5.6
1933,7,20,11,45,18,13.6,124.8,33,6.5
1933,9,3,3,45,59,3,126,33,5.6
1933,9,20,23,33,40,13,121,100,6.5
